=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-11-25_0-7-18
====================================================================================
1:9:29 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7895.084473, 26.763002, 945.132324>)
1:9:37 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7898.291016, 26.946152, 938.115601>)
1:9:41 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7897.798340, 26.720484, 933.230408>)
1:10:4 | "Skullcruncher32" (steamid=76561198378002588) Spawned Item: (Flashlight)
1:10:4 | "Skullcruncher32" (steamid=76561198378002588) Spawned Item: (Flashlight)
1:10:9 | "Skullcruncher32" (steamid=76561198378002588) Spawned Item: (Battery9V)
1:12:24 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7841.211914, 57.234142, 818.533875>)
1:12:24 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7841.544922, 57.234142, 799.754639>)
1:12:25 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7841.879883, 57.234142, 782.208679>)
1:12:25 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7842.159668, 57.234142, 765.004639>)
1:12:30 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7815.179199, 57.234703, 742.077515>)
1:12:30 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7799.176270, 57.237370, 741.091064>)
1:12:31 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7783.208008, 57.236248, 740.340149>)
1:13:58 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7818.922363, 46.972607, 705.380066>)
1:14:43 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7826.545410, 47.034065, 683.620544>)
1:14:43 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7827.972656, 46.959602, 672.250244>)
1:15:34 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7844.020996, 36.926525, 688.686646>)
1:15:35 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7843.177246, 36.909782, 701.218445>)
1:15:35 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7842.592285, 36.911877, 713.790100>)
1:15:36 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7841.986816, 36.866718, 728.977539>)
1:15:36 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7841.663086, 36.864933, 741.006226>)
